weather_station_code,weather_date,solar_radiation,maximum_temperature,minimum_temperature,rain_snow_fall,wind_speed_daily (m/s),realtive_humidity_avg
LLEI_300mm,2011-10-13,11.9,26.5,13.4,0,2.01,53.38
LLEI_300mm,2011-10-14,10.4,26.4,14.7,0,1.6,70.62
LLEI_300mm,2011-10-15,11.6,26.2,14.3,0,2.27,72.38
LLEI_300mm,2011-10-16,11.3,25.2,12.7,0,1.5,68.38
LLEI_300mm,2011-10-17,9.4,23.1,10.7,0,1.63,70.75
LLEI_300mm,2011-10-18,10.3,23.1,10.9,0.2,1.07,66.56
LLEI_300mm,2011-10-19,10.5,21.2,9,0.2,2.05,68.31
LLEI_300mm,2011-10-20,10.5,19.6,7.7,0,2.01,51.12
LLEI_300mm,2011-10-21,11,19.6,3.5,0.2,1.4,57.38
LLEI_300mm,2011-10-22,3.8,15.4,5.4,0,1.81,76.56
LLEI_300mm,2011-10-23,10,17.2,2.7,0,2.93,82.12
LLEI_300mm,2011-10-24,2.7,14.1,6.8,0,3.05,87.19
LLEI_300mm,2011-10-25,8.6,17.4,11.4,0.2,2.98,66.69
LLEI_300mm,2011-10-26,4.3,13.5,4.5,0,1.98,63.5
LLEI_300mm,2011-10-27,7.9,10.7,2.9,0.2,2.78,91.56
LLEI_300mm,2011-10-28,3.3,8.5,3.2,0,1.13,84
LLEI_300mm,2011-10-29,1.5,6.7,4.7,8.4,1.08,83.5
LLEI_300mm,2011-10-30,4.7,10.8,2,2.4,1.46,79.5
LLEI_300mm,2011-10-31,3,12.5,1.8,1,1.71,84.81
LLEI_300mm,2011-11-01,3.3,14,9.2,2.4,1.26,82.44
LLEI_300mm,2011-11-02,7,12,7,0,3.75,84.31
LLEI_300mm,2011-11-03,8.3,11.5,-0.5,0.4,3.53,87.38
LLEI_300mm,2011-11-04,6.9,12,1.3,0.2,2.16,86.19
LLEI_300mm,2011-11-05,6.9,18.3,6.7,0,2.49,82.5
LLEI_300mm,2011-11-06,6,19,11.8,0,4.74,79.12
LLEI_300mm,2011-11-07,2.1,12.8,8.3,2.6,1.53,82.31
LLEI_300mm,2011-11-08,6.6,13.2,5.2,0,1.96,80.38
LLEI_300mm,2011-11-09,6.3,16.8,2.7,2.2,1.16,76.31
LLEI_300mm,2011-11-10,1.4,13.3,10.5,4.6,1.01,80.12
LLEI_300mm,2011-11-11,2.4,15.5,10.4,7.4,0.98,83.12
LLEI_300mm,2011-11-12,2.2,12.1,10.3,2.6,2.61,87.44
LLEI_300mm,2011-11-13,6.2,14.8,9.6,0.2,3.12,86
LLEI_300mm,2011-11-14,6.9,14.2,4.2,0.2,3.69,86.81
LLEI_300mm,2011-11-15,2.1,11.9,6.5,0.2,2.01,93.69
LLEI_300mm,2011-11-16,1.3,8.2,5.8,0,1.67,78.81
LLEI_300mm,2011-11-17,6.2,6.7,1.2,0,0.75,81.5
LLEI_300mm,2011-11-18,6.9,7.7,0.5,0,1.43,89.69
LLEI_300mm,2011-11-19,4.8,6.3,-0.7,0.4,2.48,86.69
LLEI_300mm,2011-11-20,1.1,3.3,1,0.6,2.8,92.25
LLEI_300mm,2011-11-21,5.4,3.4,-3.6,0.2,2.36,87.19
LLEI_300mm,2011-11-22,1.4,5.5,1,3.2,1.45,85.5
LLEI_300mm,2011-11-23,2.1,8.3,3.2,8.4,1.62,74.94
LLEI_300mm,2011-11-24,1.9,9.3,4.9,2,1.01,77
LLEI_300mm,2011-11-25,1.7,8.4,4.5,3,1.34,81.06
LLEI_300mm,2011-11-26,1,7.1,6.1,0.6,1.76,72.88
LLEI_300mm,2011-11-27,3.7,8.5,5.3,12.2,0.72,82.12
LLEI_300mm,2011-11-28,1.5,11.4,6.4,0.4,0.98,80.94
LLEI_300mm,2011-11-29,2.8,15.1,9.2,1.2,1.13,84.5
LLEI_300mm,2011-11-30,3.4,12.6,9,0.2,1,77.5
LLEI_300mm,2011-12-01,1.6,13,6,12.2,1.1,89.25
LLEI_300mm,2011-12-02,1.8,15,9.7,2.2,1.52,86.5
LLEI_300mm,2011-12-03,1.3,14.5,10.1,10.9,2.21,74.75
LLEI_300mm,2011-12-04,2.7,11.6,9.6,0,3.02,79
LLEI_300mm,2011-12-05,2.9,12.2,6.2,6.2,4.09,85.88
LLEI_300mm,2011-12-06,2.4,13.5,10.6,0.2,4.35,83.88
LLEI_300mm,2011-12-07,1.6,12.6,8,4.2,3.2,81.62
LLEI_300mm,2011-12-08,1.9,12.1,6.4,5.4,1.26,74
LLEI_300mm,2011-12-09,2.7,10.6,8.4,6,0.62,79.19
LLEI_300mm,2011-12-10,3.7,10,5.6,0.2,1.45,85.25
LLEI_300mm,2011-12-11,3.2,6.4,2.5,0,1.77,89.25
LLEI_300mm,2011-12-12,4.7,3.8,-1.6,0,3.18,85.06
LLEI_300mm,2011-12-13,5.3,3.1,-1.2,0,2.69,82.69
LLEI_300mm,2011-12-14,4.4,2.3,-3.1,0,2.43,81.25
LLEI_300mm,2011-12-15,1.8,4.8,-0.8,12,2.99,77.5
LLEI_300mm,2011-12-16,1.5,8.5,0.9,1,5.2,72.44
LLEI_300mm,2011-12-17,3.7,8.4,4.7,0,6.18,75.62
LLEI_300mm,2011-12-18,3.7,9,2.3,3.4,3.99,75.69
LLEI_300mm,2011-12-19,2.7,10.5,6.9,0.2,4.26,87.06
LLEI_300mm,2011-12-20,3,11.6,7.2,3.4,5.07,84.75
LLEI_300mm,2011-12-21,1.3,14,8,6.2,5.08,84.75
LLEI_300mm,2011-12-22,2.8,12.7,10.5,0.2,3.48,80
LLEI_300mm,2011-12-23,1,13.4,8.6,4.4,2.86,83.69
LLEI_300mm,2011-12-24,2,8.9,5.6,0.2,2.59,66.12
LLEI_300mm,2011-12-25,5.4,5.6,-1.1,0.2,1.07,59.5
LLEI_300mm,2011-12-26,4.3,-0.9,-2.7,0,0.64,67.25
LLEI_300mm,2011-12-27,2.1,2.4,-2.8,0.2,0.9,71.38
LLEI_300mm,2011-12-28,1.3,1,-0.2,0,1.78,76.5
LLEI_300mm,2011-12-29,1.2,4.7,-0.1,0,3.02,68.88
LLEI_300mm,2011-12-30,1.3,6,3.1,0.4,5.12,83.38
LLEI_300mm,2011-12-31,1.1,8.9,5.3,0,4.34,83.88
LLEI_300mm,2012-01-01,0.7,7.6,6.4,0,1.88,87.88
LLEI_300mm,2012-01-02,2.8,6.8,3.8,0,4.46,79.06
LLEI_300mm,2012-01-03,2.8,6.2,0.5,0.2,2.64,81.75
LLEI_300mm,2012-01-04,3.6,6.6,0.3,0,4.1,81.81
LLEI_300mm,2012-01-05,1.2,5.4,2.9,0,6.2,78.06
LLEI_300mm,2012-01-06,0.8,4.4,3.1,0,4.66,66.31
LLEI_300mm,2012-01-07,1.6,7.7,3.6,0.6,2.45,76.25
LLEI_300mm,2012-01-08,3.5,9.5,5.8,0,2.24,78.81
LLEI_300mm,2012-01-09,2.8,5.4,2.5,0.8,1.53,77.75
LLEI_300mm,2012-01-10,3,3.4,0,0,0.87,79.38
LLEI_300mm,2012-01-11,1.4,6.2,-0.2,1.4,0.98,78.75
LLEI_300mm,2012-01-12,1.6,9.1,4.8,0.8,0.84,85.81
LLEI_300mm,2012-01-13,1.8,10.9,6.9,0.4,1.91,86.19
LLEI_300mm,2012-01-14,2.7,9,6.5,0.2,1.4,83.69
LLEI_300mm,2012-01-15,2.3,8.5,5.2,0,0.82,81.81
LLEI_300mm,2012-01-16,5.3,7.3,-0.9,1.4,1.89,89.12
LLEI_300mm,2012-01-17,3.5,7.9,3.8,1.6,1.23,79.75
LLEI_300mm,2012-01-18,6.2,5.7,-2.2,0.2,1.43,79.75
LLEI_300mm,2012-01-19,2.5,2.2,-3.5,6.8,1.77,87.56
LLEI_300mm,2012-01-20,1.2,3.1,1.6,0,3.48,82.81
LLEI_300mm,2012-01-21,7,2.9,-3.2,0.2,3.16,80.88
LLEI_300mm,2012-01-22,2,1.4,-2.6,6,2.55,77
LLEI_300mm,2012-01-23,2.2,1.4,0.5,1,2.03,77.19
LLEI_300mm,2012-01-24,3.3,1.2,-1.5,3,1.84,76.19
LLEI_300mm,2012-01-25,2.6,6.9,0,1.2,1.12,70.81
LLEI_300mm,2012-01-26,2.9,9,2.8,1.6,0.97,71.88
LLEI_300mm,2012-01-27,2.3,7.7,3.4,4.4,1.06,88.38
LLEI_300mm,2012-01-28,5,6,1.4,0,2.97,75.69
LLEI_300mm,2012-01-29,4.5,4.6,-1.4,8.6,3.84,64.06
LLEI_300mm,2012-01-30,6,3.8,0.2,0.4,2.33,60.12
LLEI_300mm,2012-01-31,4.3,7.3,-0.5,1,3.52,74.69
LLEI_300mm,2012-02-01,2.9,8,2.9,10.2,1.55,88.12
LLEI_300mm,2012-02-02,2.2,5.2,2.8,0.2,1.43,68.88
LLEI_300mm,2012-02-03,6,5.5,2.7,0,4.51,42.81
LLEI_300mm,2012-02-04,2.9,3.8,-2.1,0,5.68,37
LLEI_300mm,2012-02-05,7.3,8.9,0.3,0,2.55,73.94
LLEI_300mm,2012-02-06,3,10.9,-0.6,1.2,4.41,59.69
LLEI_300mm,2012-02-07,7.8,11.1,7.6,0,5.56,42.06
LLEI_300mm,2012-02-08,3.2,10.1,6.2,2.8,2.48,46.75
LLEI_300mm,2012-02-09,6,11.8,7.8,1.4,3.41,67.62
LLEI_300mm,2012-02-10,3.4,11.1,6,7.4,2.5,54.56
LLEI_300mm,2012-02-11,4.8,8.9,2.6,0.2,3.1,46.81
LLEI_300mm,2012-02-12,4.8,6.5,-1.4,0,2.98,49.12
LLEI_300mm,2012-02-13,8,7.1,-1.8,0.4,2.72,53.12
LLEI_300mm,2012-02-14,11,12.8,-1.8,0.2,2.03,68.31
LLEI_300mm,2012-02-15,10.9,14.7,-0.3,0.2,3.3,71.69
LLEI_300mm,2012-02-16,10.9,16.5,-0.9,0.2,2.24,65.19
LLEI_300mm,2012-02-17,11.4,17.9,-0.1,0,1.02,79.38
LLEI_300mm,2012-02-18,10.9,15.8,0.1,0.4,1.72,74.5
LLEI_300mm,2012-02-19,5.9,12.7,6,0,2.14,70.69
LLEI_300mm,2012-02-20,7.8,13.8,0.4,0.2,1.95,52
LLEI_300mm,2012-02-21,9.4,17.5,-0.1,0.2,1.26,57.5
LLEI_300mm,2012-02-22,10.6,17,0.9,0.2,2.31,50.94
LLEI_300mm,2012-02-23,11.6,14.8,3.5,0,2.2,44.62
LLEI_300mm,2012-02-24,11.8,13.7,0.3,0,1.5,52.19
LLEI_300mm,2012-02-25,11.8,16.6,0.4,0,1.57,68.31
LLEI_300mm,2012-02-26,12.1,18.1,0.2,0,2.4,61.94
LLEI_300mm,2012-02-27,12.3,21.4,0.3,0.2,2.12,73.88
LLEI_300mm,2012-02-28,6.3,13.9,3.2,2.2,1.16,75.88
LLEI_300mm,2012-02-29,3.8,12.3,8.5,0.8,1.15,68.69
LLEI_300mm,2012-03-01,5,12.9,7.2,1,1.27,62.69
LLEI_300mm,2012-03-02,4.2,14.2,8.9,2.8,2.45,75.88
LLEI_300mm,2012-03-03,6.5,10.5,7,5.6,1.75,71.81
LLEI_300mm,2012-03-04,6.3,12.7,4.9,3,4.05,71.88
LLEI_300mm,2012-03-05,2.5,13.8,7.9,20.1,4.05,49.19
LLEI_300mm,2012-03-06,10.2,12.1,7.7,3.2,3.34,57.19
LLEI_300mm,2012-03-07,12.8,12.2,4.6,1.2,2.01,58.88
LLEI_300mm,2012-03-08,6.7,14.6,8.2,4,3.7,55.81
LLEI_300mm,2012-03-09,12,14.4,9.6,1,2.2,53.19
LLEI_300mm,2012-03-10,13.4,10.5,1.6,3.2,1.93,57.31
LLEI_300mm,2012-03-11,11.2,13.6,2.3,3.4,2.48,57.88
LLEI_300mm,2012-03-12,12,10.5,4.2,3,1.98,62.31
LLEI_300mm,2012-03-13,3.5,11.4,5.4,8.4,1.27,56.88
LLEI_300mm,2012-03-14,4.7,13.5,10.2,1.6,1.38,52.56
LLEI_300mm,2012-03-15,9.4,14,8.6,0,1.88,61.69
LLEI_300mm,2012-03-16,10.5,10.6,5.9,6,2.76,66.56
LLEI_300mm,2012-03-17,11.6,11.5,2.9,0,1.57,62.62
LLEI_300mm,2012-03-18,16.5,12.4,1.1,0,3.76,54.75
LLEI_300mm,2012-03-19,12.9,15,-0.2,0.4,1.74,63.5
LLEI_300mm,2012-03-20,18,16.6,2.5,0,2.15,68.75
LLEI_300mm,2012-03-21,18,18.5,0.4,0,3.95,89.44
LLEI_300mm,2012-03-22,12.5,13.8,1.7,0.2,2.27,70.44
LLEI_300mm,2012-03-23,10,13.3,2.2,0,1.12,64.12
LLEI_300mm,2012-03-24,17.2,12.3,1.4,0,1.62,67.94
LLEI_300mm,2012-03-25,17.7,12.8,3,0,1.2,57.81
LLEI_300mm,2012-03-26,17.2,13.8,2.4,0,1.98,54.88
LLEI_300mm,2012-03-27,17.5,15.3,3.1,0,1.87,52.25
LLEI_300mm,2012-03-28,18.9,17.5,2.8,0,1.43,46.62
LLEI_300mm,2012-03-29,19.3,20,2.7,0,1.12,47.88
LLEI_300mm,2012-03-30,19.7,20.7,2.6,0,1.76,53
LLEI_300mm,2012-03-31,18.5,20.2,5.7,0.2,1.41,55.62
LLEI_300mm,2012-04-01,11.8,18.2,9.3,1,1.65,61.69
LLEI_300mm,2012-04-02,13.6,10.8,4.4,0,2.44,71.31
LLEI_300mm,2012-04-03,18.3,12.4,0.3,0,1.88,83
LLEI_300mm,2012-04-04,16.6,13.9,0,0,1.17,86
LLEI_300mm,2012-04-05,15.8,16.5,2.6,0,1.78,89.69
LLEI_300mm,2012-04-06,11.4,14.4,7.6,0,2.32,80.31
LLEI_300mm,2012-04-07,14.3,17.2,6.2,0,3.2,62.62
LLEI_300mm,2012-04-08,11.9,15.8,8.3,0.4,4.66,64.06
LLEI_300mm,2012-04-09,10.3,15.5,5.8,0,2.05,70
LLEI_300mm,2012-04-10,22.3,14.3,4.1,0,3.64,69.44
LLEI_300mm,2012-04-11,20.1,12.7,1.2,0,3.23,62.44
LLEI_300mm,2012-04-12,21.2,10.4,0.7,75,1.2,65.19
LLEI_300mm,2012-04-13,20.8,10.2,-2.1,75,4.36,55.88
LLEI_300mm,2012-04-14,21.6,16.9,-0.6,75,3.2,72.31
LLEI_300mm,2012-04-15,5.2,12.4,7.2,75,4.44,55.19
LLEI_300mm,2012-04-16,20.8,18.4,5.9,0,5.39,41.62
LLEI_300mm,2012-04-17,19.9,22.6,8.9,0,3.9,54.69
LLEI_300mm,2012-04-18,23.1,25.3,7.1,0,4.42,59.44
LLEI_300mm,2012-04-19,23.5,25.1,8.8,0,5.33,58.75
LLEI_300mm,2012-04-20,19.5,23.2,8.6,0,3.78,61.38
LLEI_300mm,2012-04-21,17.6,24.2,8.1,0,2.63,65.69
LLEI_300mm,2012-04-22,10.6,19.6,11.1,0,3.06,60.19
LLEI_300mm,2012-04-23,12.6,18.1,9.7,1,3.04,61.25
LLEI_300mm,2012-04-24,8.3,14.2,8.1,7.4,4.88,51.5
LLEI_300mm,2012-04-25,20.2,16.5,5.2,1,4.41,67
LLEI_300mm,2012-04-26,18.2,13.5,7.4,3.2,3.01,63.38
LLEI_300mm,2012-04-27,12.3,12.3,5.2,3,2.84,63.62
LLEI_300mm,2012-04-28,21.9,14.2,3,0.2,3.6,73.62
LLEI_300mm,2012-04-29,22.8,17.1,5.4,0.2,2.34,68.75
LLEI_300mm,2012-04-30,21.8,20.4,3.9,0,3.09,77.94
LLEI_300mm,2012-05-01,8.3,13.8,8.8,3.4,1.49,62.69
LLEI_300mm,2012-05-02,14.6,15.5,5,8.2,2.01,67.38
LLEI_300mm,2012-05-03,9.7,9.1,3.5,4.4,2.03,67.19
LLEI_300mm,2012-05-04,19.2,12.4,2.1,0.2,1.66,65.88
LLEI_300mm,2012-05-05,19.7,13.9,0.9,0.2,1.9,57.94
LLEI_300mm,2012-05-06,21.7,16.3,2.1,2.2,2.59,53.94
LLEI_300mm,2012-05-07,9.3,16.9,10,19.6,1.89,57.81
LLEI_300mm,2012-05-08,13.1,16.1,9.3,8,2.04,64.5
LLEI_300mm,2012-05-09,15.7,17.3,8.8,3,1.82,62.12
LLEI_300mm,2012-05-10,13.6,15.5,9.5,11.6,2.63,48.25
LLEI_300mm,2012-05-11,25,15.2,4.5,0,2.27,45.25
LLEI_300mm,2012-05-12,28.3,17.4,6,0,1.94,50.62
LLEI_300mm,2012-05-13,28.4,18.2,4.1,0,2.9,61.69
LLEI_300mm,2012-05-14,28.7,18,3.3,0,1.76,54.06
LLEI_300mm,2012-05-15,26.2,17.4,4.1,0,4.21,44.25
LLEI_300mm,2012-05-16,16.3,20.5,6.2,0,2.88,50.56
LLEI_300mm,2012-05-17,15.5,19.3,10.3,3.2,4.11,72.94
LLEI_300mm,2012-05-18,11.1,17.8,9.5,7,3.98,65.38
LLEI_300mm,2012-05-19,9.6,18.5,10.9,0,2.94,67.56
LLEI_300mm,2012-05-20,19.6,21.2,9.4,0,4.91,66.88
LLEI_300mm,2012-05-21,24.7,21.6,8.1,0,7.76,61.62
LLEI_300mm,2012-05-22,24.9,23,6.1,0,6.16,54.31
LLEI_300mm,2012-05-23,21.2,23.4,9.2,0,2.68,54.5
LLEI_300mm,2012-05-24,15.7,21.3,13.2,1.2,1.62,52.81
LLEI_300mm,2012-05-25,22.9,21.3,8.7,0,2.95,47
LLEI_300mm,2012-05-26,17.9,20.9,14.2,6.1,2.07,57.38
LLEI_300mm,2012-05-27,20.8,17.1,9.3,15.8,1.51,55.25
LLEI_300mm,2012-05-28,23,19.8,6.6,0,1.73,52.12
LLEI_300mm,2012-05-29,13.4,21.6,13.4,0,1.64,49.31
LLEI_300mm,2012-05-30,22.6,24.4,9.7,0.2,2.13,50.62
LLEI_300mm,2012-05-31,29,28.8,10.7,0,2.11,46.56
LLEI_300mm,2012-06-01,28.1,30.8,13.5,0,2.41,46.56
LLEI_300mm,2012-06-02,14,22.1,16.3,0.2,3.09,45.69
LLEI_300mm,2012-06-03,21.4,29.2,12.2,5.6,3.39,60.5
LLEI_300mm,2012-06-04,6.2,16.3,11.7,15,3.2,51.19
LLEI_300mm,2012-06-05,22.9,19.5,10.2,0,1.98,55.44
LLEI_300mm,2012-06-06,12.4,17.8,11.2,1,2.73,61.62
LLEI_300mm,2012-06-07,21.4,19.7,11.3,1,2.96,52.94
LLEI_300mm,2012-06-08,13.7,19.7,8.3,5,4.16,46.06
LLEI_300mm,2012-06-09,17.1,19.3,11.9,0.2,2.44,52.25
LLEI_300mm,2012-06-10,16.5,17.6,7.3,3.6,2.56,54.56
LLEI_300mm,2012-06-11,17.3,18,8.4,8.8,3.28,51.56
LLEI_300mm,2012-06-12,20.8,20.3,9.7,3.2,5.23,48.94
LLEI_300mm,2012-06-13,20.9,23.7,10.1,7.4,2.88,52.69
LLEI_300mm,2012-06-14,24.3,21.3,13.9,0,4.16,61.75
LLEI_300mm,2012-06-15,23,23,11.5,0.2,3.81,53.75
LLEI_300mm,2012-06-16,28.1,25.9,9.9,0,2.9,49.56
LLEI_300mm,2012-06-17,25.3,28.8,12.8,0,3.78,57.75
LLEI_300mm,2012-06-18,23,26.1,16,2.8,2.88,57.38
LLEI_300mm,2012-06-19,17.6,21.4,15,0.2,2.84,68.31
LLEI_300mm,2012-06-20,26.8,22.8,10.5,0,2.2,56.69
LLEI_300mm,2012-06-21,26.2,24.5,11.3,0.2,2.68,49.25
LLEI_300mm,2012-06-22,25.5,29.7,13.6,0,2.91,51.25
LLEI_300mm,2012-06-23,26.7,31.1,15.7,0,2.23,53.62
LLEI_300mm,2012-06-24,27.6,32.6,17.8,0,1.53,47
LLEI_300mm,2012-06-25,28.4,35.2,18.6,0,1.87,44.56
LLEI_300mm,2012-06-26,28.3,33.7,20.6,0,2.26,49
LLEI_300mm,2012-06-27,28.3,32.6,16.7,0,3.3,45.94
LLEI_300mm,2012-06-28,29.4,34.8,16.7,0,3.27,49.94
LLEI_300mm,2012-06-29,25.2,31.5,19,0,2.57,49.5
LLEI_300mm,2012-06-30,23.3,26.4,16.1,0,1.63,46.69
LLEI_300mm,2012-07-01,30.1,26.3,12.2,0,3.17,57.44
LLEI_300mm,2012-07-02,27.9,26.2,13.9,0,2.58,48.62
LLEI_300mm,2012-07-03,30,28.4,12.3,0,2.81,59.88
LLEI_300mm,2012-07-04,30,31.3,11.1,0,3.84,61.44
LLEI_300mm,2012-07-05,26.4,32.3,14.1,0,1.38,67.25
LLEI_300mm,2012-07-06,25.8,28.7,13.3,0,2.35,60.62
LLEI_300mm,2012-07-07,27.1,24.6,14.8,0,3.9,68.94
LLEI_300mm,2012-07-08,29.2,25.1,10.5,0,2.22,61.88
LLEI_300mm,2012-07-09,27.9,28,11.7,0,2.12,64.56
LLEI_300mm,2012-07-10,15.2,30.7,15.2,0,1.8,59.75
LLEI_300mm,2012-07-11,23.3,28.6,14.6,0,2.01,55.44
LLEI_300mm,2012-07-12,24.9,26.3,12.7,0,2.73,53
LLEI_300mm,2012-07-13,21.6,22.8,11.9,0,2.27,56.94
LLEI_300mm,2012-07-14,27,25,12,0,3.36,45.5
LLEI_300mm,2012-07-15,26.8,26.4,11.2,0,3.77,40.12
LLEI_300mm,2012-07-16,25.4,29.4,11.5,0,1.9,45
LLEI_300mm,2012-07-17,21.8,28.4,15.5,0,1.25,46.69
LLEI_300mm,2012-07-18,24.7,29.6,17.4,0,1.77,37.62
LLEI_300mm,2012-07-19,20.3,30.7,14.5,0,2.19,37.94
LLEI_300mm,2012-07-20,25.4,28.8,16.2,0,2.39,52.81
LLEI_300mm,2012-07-21,26.5,32.1,14,0,1.91,44.88
LLEI_300mm,2012-07-22,27.3,37.5,16.2,0,1.52,41.75
LLEI_300mm,2012-07-23,25.5,40.4,18.1,0,2.93,50.88
LLEI_300mm,2012-07-24,25.2,42.9,20.5,0,3.2,59.25
LLEI_300mm,2012-07-25,21.9,33,21.6,10.2,3.3,58.88
LLEI_300mm,2012-07-26,11.9,23.1,16.9,0.2,3.13,50.69
LLEI_300mm,2012-07-27,15.6,24.9,14.1,0,2.19,44.25
LLEI_300mm,2012-07-28,27.8,29,10.2,0,2.45,48.5
LLEI_300mm,2012-07-29,19.9,27.3,15.3,0,2.84,56.5
LLEI_300mm,2012-07-30,19.4,24.1,14.2,0,2.91,62.38
