name,position in array,low,high,stepsize,optguess,minbound,maxbound,derived params
CriticalOxygenContent,1,0.01,0.1,0.001,,,,
CriticalOxygenContent,2,0.01,0.1,0.001,,,,
CriticalOxygenContent,3,0.01,0.1,0.001,,,,
CriticalOxygenContent,4,0.01,0.1,0.001,,,,
CriticalOxygenContent,5,0.01,0.1,0.001,,,,
CriticalOxygenContent,6,0.01,0.1,0.001,,,,
TimeUnderAnoxiaThreshold,1,1,15,0.5,,,,
TimeUnderAnoxiaThreshold,2,1,15,0.5,,,,
TimeUnderAnoxiaThreshold,3,1,15,0.5,,,,
TimeUnderAnoxiaThreshold,4,1,15,0.5,,,,
TimeUnderAnoxiaThreshold,5,1,15,0.5,,,,
TimeUnderAnoxiaThreshold,6,1,15,0.5,,,,